home_h1_count,home_h1_total_persistence,home_h1_mean_persistence,home_h1_max_persistence,home_clusters,away_h1_count,away_h1_total_persistence,away_h1_mean_persistence,away_h1_max_persistence,away_clusters,d_bottleneck_AB,d_landscape_l2_AB,match_id,frame_idx
1,5.642642974853516,5.642642974853516,5.642642974853516,10,2,6.822704315185547,3.4113521575927734,3.7418441772460938,8,1.5404300689697266,15.953297837327725,2017461,99
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,4,0.0,0.0,2017461,100
1,1.4722003936767578,1.4722003936767578,1.4722003936767578,6,1,5.109857559204102,5.109857559204102,5.109857559204102,6,1.9468936920166016,18.57238548109415,2017461,101
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,3,0.0,0.0,2017461,102
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,5,0.0,0.0,2017461,103
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,6,0.0,0.0,2017461,104
0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,7,0.0,0.0,2017461,105
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,3,0.0,0.0,2017461,106
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,4,0.0,0.0,2017461,107
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,3,0.0,0.0,2017461,108
0,0.0,0.0,0.0,3,1,5.521173477172852,5.521173477172852,5.521173477172852,6,2.760586738586426,9.739789545949845,2017461,109
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,5,0.0,0.0,2017461,110
0,0.0,0.0,0.0,5,3,3.8221588134765625,1.2740529378255208,3.0714797973632812,8,1.5357398986816404,3.999265323261205,2017461,111
0,0.0,0.0,0.0,4,1,8.876558303833008,8.876558303833008,8.876558303833008,8,4.438279151916504,18.65708215185122,2017461,112
0,0.0,0.0,0.0,5,1,2.8177413940429688,2.8177413940429688,2.8177413940429688,8,1.4088706970214844,3.786352703022824,2017461,113
0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,6,0.0,0.0,2017461,114
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,3,0.0,0.0,2017461,115
1,0.6606903076171875,0.6606903076171875,0.6606903076171875,9,1,1.4204559326171875,1.4204559326171875,1.4204559326171875,5,0.7102279663085938,2.6457168440490713,2017461,116
0,0.0,0.0,0.0,6,0,0.0,0.0,0.0,4,0.0,0.0,2017461,117
0,0.0,0.0,0.0,3,1,3.390491485595703,3.390491485595703,3.390491485595703,7,1.6952457427978516,5.117591166865284,2017461,118
0,0.0,0.0,0.0,7,0,0.0,0.0,0.0,4,0.0,0.0,2017461,119
2,4.82746696472168,2.41373348236084,4.599870681762695,10,1,4.127296447753906,4.127296447753906,4.127296447753906,6,2.299935340881347,15.709731264275764,2017461,120
1,2.503072738647461,2.503072738647461,2.503072738647461,5,1,2.380258560180664,2.380258560180664,2.380258560180664,7,1.2515363693237305,10.471466113685585,2017461,121
1,3.544027328491211,3.544027328491211,3.544027328491211,6,1,11.10511589050293,11.10511589050293,11.10511589050293,11,4.004814147949219,39.34902432456073,2017461,122
0,0.0,0.0,0.0,4,2,2.635660171508789,1.3178300857543945,1.4260368347167969,7,0.7130184173583984,1.5985122174875743,2017461,123
0,0.0,0.0,0.0,3,1,9.309625625610352,9.309625625610352,9.309625625610352,6,4.654812812805176,18.808294698845884,2017461,124
0,0.0,0.0,0.0,3,1,4.871728897094727,4.871728897094727,4.871728897094727,8,2.4358644485473633,8.338760383244916,2017461,125
0,0.0,0.0,0.0,3,1,3.005138397216797,3.005138397216797,3.005138397216797,6,1.5025691986083984,3.9290421664353596,2017461,126
0,0.0,0.0,0.0,5,0,0.0,0.0,0.0,5,0.0,0.0,2017461,127
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,4,0.0,0.0,2017461,128
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,2,0.0,0.0,2017461,129
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,3,0.0,0.0,2017461,130
0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,2,0.0,0.0,2017461,131
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,2,0.0,0.0,2017461,132
0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,3,0.0,0.0,2017461,133
