delta,mean_h0,std_h0,p_k_ge_4,n_frames
28.25,1.56027051538081,0.5036512096968264,3.2062439310382735e-05,436648
28.5,1.5382504900972866,0.5046988743806688,2.5191916601015005e-05,436648
28.75,1.5168396511606603,0.5050686482711729,1.8321393891647275e-05,436648
29.0,1.495950971949946,0.5045620460139233,1.3741045418735458e-05,436648
29.25,1.4741737051354866,0.5030754292363869,6.870522709367729e-06,436648
29.5,1.452268188563786,0.5008590494276652,2.2901742364559094e-06,436648
29.75,1.4308161264909034,0.49784780806180823,0.0,436648
30.0,1.409309100236346,0.4940024410224716,0.0,436648
30.25,1.388136439420311,0.4892073299177962,0.0,436648
30.5,1.3677470181931441,0.4837384399783915,0.0,436648
30.75,1.3485164251296238,0.47788803110793243,0.0,436648
31.0,1.3299934959051685,0.47145611334834986,0.0,436648
31.25,1.3118003517707628,0.46435515037377495,0.0,436648
31.5,1.294411058793353,0.4567518501753254,0.0,436648
31.75,1.2775507960645647,0.4487259927585044,0.0,436648
32.0,1.2613798757809493,0.44028252316248556,0.0,436648
32.25,1.2458089811472857,0.4314058961350257,0.0,436648
32.5,1.2311014822007658,0.42229215475947673,0.0,436648
32.75,1.2173810483501586,0.41289730658811724,0.0,436648
33.0,1.2045858448910793,0.4037509528149391,0.0,436648
33.25,1.1925441087557942,0.39453066465605446,0.0,436648
33.5,1.1815146296330226,0.38559888283097105,0.0,436648
33.75,1.171550081530203,0.3771229831714883,0.0,436648
34.0,1.1623344204027042,0.36886950841678123,0.0,436648
34.25,1.1534897675015114,0.3605483065607859,0.0,436648
34.5,1.1450046719554423,0.3521709877158568,0.0,436648
34.75,1.1367463036587824,0.343626374068451,0.0,436648
35.0,1.129074219966655,0.3352961137158716,0.0,436648
35.25,1.1214708415016215,0.32667402799206624,0.0,436648
35.5,1.1144583279895934,0.3183674783494063,0.0,436648
35.75,1.1082084424983052,0.310643841837056,0.0,436648
36.0,1.1022677305289386,0.30300041597427363,0.0,436648
36.25,1.096512522672725,0.2952931684594337,0.0,436648
36.5,1.0912565728000587,0.28797395827176275,0.0,436648
36.75,1.0862388010479838,0.28071667337683787,0.0,436648
37.0,1.0814317253256627,0.27349729567757447,0.0,436648
37.25,1.0771261977611257,0.266791885914572,0.0,436648
37.5,1.0731138124988548,0.26032352587124974,0.0,436648
37.75,1.0694106007585058,0.2541513666889947,0.0,436648
38.0,1.0657989959876146,0.24793069372467183,0.0,436648
38.25,1.0627347428592366,0.24248552443002208,0.0,436648
38.5,1.0596636192081494,0.23686283000730662,0.0,436648
38.75,1.0567092944431213,0.23128656008566084,0.0,436648
39.0,1.0539336032685367,0.22588688886894118,0.0,436648
39.25,1.0513708982979426,0.2207533481305982,0.0,436648
39.5,1.0489799563950826,0.21582638148587444,0.0,436648
39.75,1.0464561843865081,0.21047115899605415,0.0,436648
40.0,1.0444339605357176,0.20605746996140467,0.0,436648
