sample_idx,level,cutoff_m,birth,death,p
23,individual,2.75,13.763814926147461,14.12542724609375,0.36161231994628906
23,individual,2.75,13.644552230834961,15.661941528320312,2.0173892974853516
23,individual,2.75,12.136061668395996,12.80904769897461,0.6729860305786133
23,individual,2.75,9.299615859985352,10.56470775604248,1.265091896057129
24,individual,2.75,11.58730411529541,11.796614646911621,0.20931053161621094
24,individual,2.75,8.486394882202148,10.456860542297363,1.9704656600952148
25,individual,2.75,18.767356872558594,19.262279510498047,0.4949226379394531
26,individual,2.75,16.39727020263672,19.250444412231445,2.8531742095947266
27,individual,2.75,15.213704109191895,16.089181900024414,0.8754777908325195
27,individual,2.75,12.340198516845703,15.6643705368042,3.324172019958496
27,individual,2.75,11.951790809631348,16.589061737060547,4.637270927429199
28,individual,2.75,14.870941162109375,16.95248031616211,2.0815391540527344
28,individual,2.75,13.143980026245117,15.02491283416748,1.8809328079223633
28,individual,2.75,11.464750289916992,13.197821617126465,1.7330713272094727
29,individual,2.75,14.806437492370605,15.821131706237793,1.0146942138671875
29,individual,2.75,13.889348030090332,15.747307777404785,1.8579597473144531
29,individual,2.75,8.577557563781738,9.951813697814941,1.3742561340332031
30,individual,2.75,17.073150634765625,17.31930923461914,0.24615859985351562
30,individual,2.75,14.480320930480957,18.561735153198242,4.081414222717285
30,individual,2.75,13.648695945739746,16.166263580322266,2.5175676345825195
31,individual,2.75,11.76541519165039,12.51241397857666,0.7469987869262695
32,individual,2.75,19.10103988647461,21.123676300048828,2.0226364135742188
32,individual,2.75,13.996445655822754,18.116525650024414,4.12007999420166
33,individual,2.75,19.706470489501953,22.15163230895996,2.445161819458008
34,individual,2.75,17.827476501464844,18.312673568725586,0.4851970672607422
34,individual,2.75,15.951404571533203,17.102739334106445,1.1513347625732422
34,individual,2.75,13.763524055480957,14.150067329406738,0.38654327392578125
35,individual,2.75,15.607139587402344,17.14472770690918,1.537588119506836
35,individual,2.75,10.198201179504395,10.600311279296875,0.40211009979248047
35,individual,2.75,9.377250671386719,12.597817420959473,3.220566749572754
36,individual,2.75,18.324642181396484,20.940467834472656,2.615825653076172
36,individual,2.75,18.101726531982422,18.203126907348633,0.10140037536621094
36,individual,2.75,11.72420597076416,15.864501953125,4.14029598236084
37,individual,2.75,16.532190322875977,17.705467224121094,1.1732769012451172
37,individual,2.75,14.701894760131836,17.46253776550293,2.7606430053710938
37,individual,2.75,10.574629783630371,11.370797157287598,0.7961673736572266
37,individual,2.75,7.79626989364624,9.45947265625,1.6632027626037598
38,individual,2.75,11.961555480957031,12.595649719238281,0.63409423828125
38,individual,2.75,9.632284164428711,10.984097480773926,1.3518133163452148
39,individual,2.75,18.947917938232422,22.842021942138672,3.89410400390625
39,individual,2.75,17.05292510986328,17.386035919189453,0.3331108093261719
39,individual,2.75,15.677576065063477,18.78952407836914,3.111948013305664
39,individual,2.75,15.125359535217285,15.72994613647461,0.6045866012573242
40,individual,2.75,13.915976524353027,14.289856910705566,0.37388038635253906
41,individual,2.75,10.160189628601074,13.684513092041016,3.5243234634399414
42,individual,2.75,14.152575492858887,18.5031681060791,4.350592613220215
42,individual,2.75,13.87287425994873,17.94074249267578,4.067868232727051
43,individual,2.75,19.42322540283203,19.78995704650879,0.3667316436767578
44,individual,2.75,19.378049850463867,19.868709564208984,0.4906597137451172
