delta,mean_ch,mean_sil,mean_ic,n
13.25,10.048382138194544,0.2819028741996417,0.915114839377725,43681
13.5,9.90356157873097,0.2892720131935241,0.8636034842950977,43681
13.75,9.766504056498457,0.2965920302633842,0.815938421518223,43681
14.0,9.654964869352687,0.30429870072337734,0.7715030726255016,43681
14.25,9.562560006989115,0.3128557315875927,0.7304264444389346,43681
14.5,9.489637265119574,0.3216345846595278,0.6919347526710609,43681
14.75,9.42628027769715,0.3306011418107506,0.6568317108380417,43681
15.0,9.373835243616666,0.3389931854681108,0.6249090269010431,43681
15.25,9.320943319485009,0.3474331849001005,0.595104896606024,43681
15.5,9.291087137794106,0.3557918381280678,0.568279358806476,43681
15.75,9.266033289872087,0.3638607084145687,0.5439318991636186,43681
16.0,9.232691600289801,0.37177080400925355,0.5206556633097282,43681
16.25,9.21097876554463,0.3794761897893338,0.5010658089463117,43681
16.5,9.183235295381182,0.38689936291087107,0.4817626599794953,43681
16.75,9.169038433126389,0.39400843388332185,0.4647248970387426,43681
17.0,9.16144544330339,0.400585915925683,0.4492919943965874,43681
17.25,9.149457048238888,0.40656099363489007,0.43567993888693307,43681
17.5,9.144646873223598,0.4123753111332223,0.4230042879712792,43681
17.75,9.140748772698966,0.4182921923450691,0.4108021354269901,43681
18.0,9.134007978414612,0.4235981105875883,0.39968528175149987,43681
18.25,9.128557824149746,0.42887570474235615,0.3891314282318302,43681
18.5,9.127470640690643,0.4336776103662621,0.37966155031481996,43681
18.75,9.129948939627628,0.4383680954349159,0.37079646917944425,43681
19.0,9.132966813766675,0.4431739617950273,0.36198793755508435,43681
19.25,9.138187059077792,0.44737817097551164,0.3543322294558364,43681
19.5,9.141468072840441,0.4515819170315022,0.34669025161948547,43681
19.75,9.143724203023702,0.45562445790892175,0.33944975269618605,43681
20.0,9.147331955903557,0.45948332542192083,0.33248323317873507,43681
20.25,9.160613620808636,0.4631102638364586,0.32612259970684804,43681
20.5,9.176342949729232,0.46689427349270873,0.3194246829980629,43681
20.75,9.185959388036958,0.4702576409040636,0.31326592988273905,43681
21.0,9.199337581429232,0.4735131723816567,0.3073061681661517,43681
21.25,9.217830007996103,0.47685058093902616,0.3012254445229257,43681
21.5,9.23954141359104,0.4799704721092078,0.29550474576656843,43681
21.75,9.263301483642953,0.48311675769110646,0.28968565543410174,43681
22.0,9.291423827400031,0.4860221713548019,0.28420671380497575,43681
22.25,9.328066584057712,0.48913406360464073,0.27840609506206704,43681
22.5,9.371149010500664,0.49210006859042493,0.2727263477363222,43681
22.75,9.419481196869786,0.49500736319896665,0.26726955302102845,43681
23.0,9.474873332052882,0.4978803316235311,0.2619101234922006,43681
23.25,9.53793422230195,0.5006944203458821,0.25660892233728694,43681
23.5,9.602874983738495,0.5034902689501082,0.2513102981187523,43681
23.75,9.676030173749123,0.506335771988132,0.2459132344005758,43681
24.0,9.753514579216674,0.5091922515815147,0.24043063217420912,43681
24.25,9.8323600115654,0.5118468708283295,0.23552318522155044,43681
24.5,9.918908581585194,0.514552341225601,0.23032710393652,43681
24.75,10.00834954787303,0.5171776483636941,0.22527381540183952,43681
25.0,10.100789496783234,0.5198705592204992,0.2202285085761864,43681
25.25,10.197682058597417,0.5224976460352493,0.21527071691597735,43681
25.5,10.303216816233187,0.525433857944067,0.209895689340109,43681
25.75,10.410641860071284,0.528228036498071,0.20469347353701248,43681
